"month","day","service","temp","pressure","humidity","wind_speed","wind_deg","rain_3h","clouds_all","weekday_Monday","weekday_Saturday","weekday_Sunday","weekday_Thursday","weekday_Tuesday","weekday_Wednesday","weather_main_Clouds","weather_main_Drizzle","weather_main_Fog","weather_main_Mist","weather_main_Rain","weather_main_Snow"
1,1,68,279.002941176471,1010.01470588235,92.4852941176471,4.39705882352941,265.588235294118,42.2575,84.8823529411765,0,0,1,0,0,0,0,0,0,0,1,0
1,2,130,273.419230769231,1013.29230769231,78.2384615384615,3.07692307692308,286.076923076923,0,4.24615384615385,1,0,0,0,0,0,1,0,0,0,0,0
1,3,142,278.199295774648,1000.64788732394,92.330985915493,7.40140845070423,264.718309859155,7.225,89.5211267605634,0,0,0,0,1,0,0,0,0,1,0,0
1,4,101,274.526237623762,1000.73267326733,73.2970297029703,6.86138613861386,293.564356435644,0,37.1881188118812,0,0,0,0,0,1,1,0,0,0,0,0
1,5,120,266.25,1034.125,59.4416666666667,3.98333333333333,18.8333333333333,0,0.2,0,0,0,1,0,0,1,0,0,0,0,0
1,6,124,267.174193548387,1038.77419354839,71,1.95967741935484,182.75,0,17.9032258064516,0,0,0,0,0,0,0,0,0,0,0,0
1,7,100,273.83,1021.43,97.53,3.68,233.7,0,74.78,0,1,0,0,0,0,1,0,0,0,0,0
1,8,94,272.405319148936,1029.01063829787,98.1063829787234,1.08510638297872,264.308510638298,0,63.1276595744681,0,0,1,0,0,0,1,0,0,0,0,0
1,9,88,275.025,1019.32954545455,98.8863636363636,4.09090909090909,211.818181818182,0,79.7272727272727,1,0,0,0,0,0,0,0,0,1,0,0
1,10,98,274.129591836735,1009.36734693878,90.2857142857143,5.52040816326531,169.183673469388,0,87.9591836734694,0,0,0,0,1,0,1,0,0,0,0,0
1,11,97,275.366494845361,989.381443298969,97.6185567010309,7.77319587628866,203.917525773196,71.5,91.5876288659794,0,0,0,0,0,1,0,0,0,0,1,0
1,12,132,275.960606060606,992.522727272727,87.719696969697,7.12878787878788,253.484848484848,6.4,22.6666666666667,0,0,0,1,0,0,1,0,0,0,0,0
1,13,102,272.86568627451,992.196078431373,100,1.61764705882353,271.470588235294,0,49.8039215686275,0,0,0,0,0,0,0,0,1,0,0,0
1,14,101,273.625247524752,998.920792079208,99.3168316831683,2.57425742574257,256.930693069307,4,42.7128712871287,0,1,0,0,0,0,0,0,0,1,0,0
1,15,89,272.53202247191,1015.47191011236,82.7078651685393,3.26966292134831,323.707865168539,0,10.247191011236,0,0,1,0,0,0,1,0,0,0,0,0
1,16,69,272.570289855072,1026.63768115942,81.2173913043478,3.69565217391304,335.217391304348,0,22.2608695652174,1,0,0,0,0,0,0,0,0,0,0,0
1,17,103,272.033495145631,1036.15533980583,86.3106796116505,2.1747572815534,218.640776699029,0.29,55.2621359223301,0,0,0,0,1,0,0,0,0,0,0,0
1,18,96,275.077083333333,1035.21875,93.2395833333333,4.88541666666667,244.791666666667,12.06,86.1041666666667,0,0,0,0,0,1,1,0,0,0,0,0
1,19,99,277.412626262626,1033.11111111111,95.4747474747475,4.83838383838384,264.545454545455,4.06,74.7474747474748,0,0,0,1,0,0,0,0,0,1,0,0
1,20,144,277.7125,1030.22222222222,91.7361111111111,5.30555555555556,277.152777777778,13.45,85.0833333333333,0,0,0,0,0,0,0,0,0,0,1,0
1,21,107,276.019158878505,1030.28971962617,100,1.85046728971963,281.411214953271,0,87.9252336448598,0,1,0,0,0,0,0,0,0,1,0,0
1,22,74,275.677027027027,1027.37837837838,98.9594594594595,2.05405405405405,200.675675675676,0,59.8243243243243,0,0,1,0,0,0,0,0,1,0,0,0
1,23,98,274.558163265306,1022.30612244898,95.8061224489796,2.72448979591837,255.510204081633,0,84.0816326530612,1,0,0,0,0,0,1,0,0,0,0,0
1,24,99,276.292424242424,1030.84848484848,94.6969696969697,3.48484848484848,277.959595959596,4.215,78.1414141414141,0,0,0,0,1,0,0,0,0,1,0,0
1,25,120,274.5278,1038.35,98.3083333333333,3.98333333333333,262.041666666667,0,16.2333333333333,0,0,0,0,0,1,1,0,0,0,0,0
1,26,128,273.0796875,1030.5859375,99.6796875,2.0859375,145.3125,0,43.5,0,0,0,1,0,0,0,0,0,1,0,0
1,27,110,274.313636363636,1022.67272727273,86.2454545454545,4.88181818181818,140.363636363636,0,0.109090909090909,0,0,0,0,0,0,1,0,0,0,0,0
